Time,Name,Unit,Year,Month,Day,Hour,Consumption,Temp_outside,Käyttötarkoitus,Bruttoala,Kerrosala,Huoneistoala,Kokonaistilavuus,Rakennustyyppi,ids
2023-02-13 14:00:00.000,Lämpö,MWh,2023,2,13,14,0.124875,3.7,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-05-03 10:00:00.000,Lämpö,MWh,2023,5,3,10,0.171,2.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-09-08 10:00:00.000,Lämpö,MWh,2020,9,8,10,0.022,12.4,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-03-03 05:00:00.000,Lämpö,MWh,2020,3,3,5,0.185,-4.4,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-08-28 05:00:00.000,Lämpö,MWh,2022,8,28,5,0.009,13.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-08-10 19:00:00.000,Lämpö,MWh,2020,8,10,19,0.009,13.1,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-09-19 17:00:00.000,Lämpö,MWh,2020,9,19,17,0.022,9.7,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-06-13 17:00:00.000,Lämpö,MWh,2022,6,13,17,0.009,15.9,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-05-22 07:00:00.000,Lämpö,MWh,2022,5,22,7,0.011,14.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-05-04 12:00:00.000,"Sähkö, Pätö",kWh,2022,5,4,12,44.625,6,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-09-13 10:00:00.000,Lämpö,MWh,2022,9,13,10,0.024,14.9,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-03-28 07:00:00.000,"Sähkö, Pätö",kWh,2020,3,28,7,24.2939999999944,2.6,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-08-19 16:00:00.000,Lämpö,MWh,2020,8,19,16,0.009,22.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-06-16 06:00:00.000,"Sähkö, Pätö",kWh,2023,6,16,6,41.6369999998528,17.7,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-11-05 02:00:00.000,Lämpö,MWh,2020,11,5,2,0.053,6.1,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-01-02 19:00:00.000,"Sähkö, Pätö",kWh,2023,1,2,19,7.47399999992922,-2.6,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-29 04:00:00.000,Lämpö,MWh,2020,1,29,4,0.174,0.1,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-04-19 13:00:00.000,Lämpö,MWh,2023,4,19,13,0.026,10.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-10-08 09:00:00.000,"Sähkö, Pätö",kWh,2023,10,8,9,40.6529999997933,5.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-11-07 12:00:00.000,Lämpö,MWh,2020,11,7,12,0.03,10.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-05-19 22:00:00.000,"Sähkö, Pätö",kWh,2023,5,19,22,23.8890000000596,7.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-12-15 00:00:00.000,"Sähkö, Pätö",kWh,2020,12,15,0,9.99699999997392,-2.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-08-31 15:00:00.000,Lämpö,MWh,2023,8,31,15,0.013,15.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-06-15 18:00:00.000,Lämpö,MWh,2020,6,15,18,0.009,20.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-08-21 05:00:00.000,Lämpö,MWh,2023,8,21,5,0.037,11.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-02-17 19:00:00.000,Lämpö,MWh,2023,2,17,19,0.111620689655172,0.7,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-07-12 12:00:00.000,"Sähkö, Pätö",kWh,2022,7,12,12,33.9199999999255,23.6,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2021-09-16 17:00:00.000,Lämpö,MWh,2021,9,16,17,0.032,7.9,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-06-19 06:00:00.000,Lämpö,MWh,2020,6,19,6,0.009,14.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-06-06 05:00:00.000,Lämpö,MWh,2020,6,6,5,0.015,13.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
